"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"81",39.9879537693333,4.57227599090216,70,57,69,57,48,76,88
"82",31.9127052898629,4.26125167465817,70,50,58,59,36,79,86
"83",35.3998835723584,5.14364736132674,70,58,68,50,43,80,83
"84",32.8831916465708,4.28497812080585,70,63,71,63,43,79,89
"85",30.3762406635861,6.31648566637328,70,52,59,46,44,83,89
"86",42.4663675562607,3.42573269015157,70,60,69,56,43,86,89
"87",35.0398197675437,5.04616108091556,70,61,68,55,40,84,93
"88",36.1459563419348,4.97145618163287,70,60,65,56,36,85,89
"89",35.8391511890652,6.41312880087594,70,59,67,55,47,83,87
"90",38.1600849239382,5.8291930066696,70,55,63,52,35,75,86
"91",41.8011725546186,5.1833520769521,70,56,71,64,41,79,91
"92",42.0434648673004,6.33955700565283,70,60,59,65,36,80,86
"93",33.4491808353182,6.20232912885242,70,51,57,55,30,71,87
"94",32.9246282393104,5.87183554931052,70,60,69,58,45,90,91
"95",32.461987615837,4.88357317088422,70,58,64,50,37,78,96
"96",33.2406853018924,5.34282847957019,70,53,65,63,40,79,88
"97",42.8780712314368,4.01452866344539,70,54,71,65,33,78,88
"98",37.0229376163983,6.12771147545108,70,55,68,57,42,80,90
"99",34.4721544072311,5.2298298513806,70,58,68,55,32,82,87
"100",35.196519684543,5.91857055259843,70,61,67,64,41,80,91
"101",40.2233782192385,4.78592440701089,70,42,69,52,37,81,89
"102",37.7817935052765,2.27818383540053,70,66,62,55,42,83,84
"103",36.0571840594842,3.98573818349481,70,62,66,54,45,83,88
"104",34.7511097135508,4.17085492621217,70,47,71,46,34,78,86
"105",34.4134050109426,5.85770889770664,70,51,69,49,41,77,86
"106",43.1441209091454,4.76148987087444,70,65,65,64,41,77,93
"107",39.8197602328401,4.29675415328306,70,57,60,51,40,82,90
"108",43.0260613477461,2.5478035645495,70,53,68,58,47,85,92
"109",35.7358792827839,6.14799999225363,70,67,73,59,47,84,87
"110",35.9474967305564,5.00206702197966,70,51,62,61,42,82,88
"111",33.9178582057397,5.06093359369888,70,56,66,61,34,81,90
"112",36.2484426198391,3.89496171649311,70,57,68,57,43,76,92
"113",38.4155783983508,5.200684243241,70,61,63,62,41,75,89
"114",41.0768194629943,3.76942231530165,70,54,66,60,45,82,86
"115",38.6925058080509,4.87347259864765,70,51,66,68,38,84,88
"116",38.3679402714437,3.68717387222304,70,59,69,59,39,83,88
"117",40.6928609890627,6.10766495520819,70,64,66,62,39,76,88
"118",40.4414105431814,3.99226245560767,70,55,66,60,39,77,87
"119",37.3197941227823,6.57579983894338,70,56,73,62,39,77,93
"120",34.6500500289741,5.29099302019809,70,55,67,48,40,80,90
"121",40.7235994812321,5.73952990782545,70,63,73,54,45,84,90
"122",37.4165752573105,3.74442551231159,70,60,67,63,27,72,86
"123",42.1318947647097,6.41195113103592,70,63,71,55,48,79,90
"124",35.708077075831,5.73348704705562,70,68,70,58,45,83,87
"125",33.8673112572188,6.28172145133541,70,45,60,51,38,79,85
"126",38.6127385737416,5.89880048039267,70,60,69,54,45,80,93
"127",34.9912420385493,5.53111235905131,70,61,65,49,44,85,90
"128",38.9164168343149,5.78458277656108,70,55,63,66,52,85,96
"129",31.8280304965223,3.81478640251127,70,58,69,58,38,84,87
"130",31.7727097589773,5.34599671894835,70,54,66,51,46,87,86
"131",39.069412519849,3.82712378501247,70,65,67,64,47,84,89
"132",37.9928895315204,4.66295058147761,70,62,64,53,41,79,91
"133",39.6132031268442,3.97580942944105,70,62,58,61,30,75,86
"134",30.9512632533597,6.32480070732534,70,60,64,57,46,93,85
"135",40.6377373105311,5.03747158691007,70,63,65,54,42,89,87
"136",40.6014840964658,4.92265725740495,70,60,65,61,42,80,87
"137",40.0962049778063,4.55947781943839,70,58,68,56,40,80,90
"138",39.3592307685316,5.21425277525075,70,52,66,65,48,83,90
"139",43.3302205413378,4.9881890617011,70,54,69,52,32,73,90
"140",32.6385704595601,4.54690833550966,70,61,63,52,49,81,96
"141",35.250688455608,2.89814764875628,70,62,62,57,37,74,84
"142",38.2291719476509,4.71738069867348,70,57,71,63,42,84,91
"143",34.5790550937573,3.42902569967221,70,59,72,55,38,82,88
"144",37.2566513225635,5.29635860950479,70,70,71,59,60,82,85
"145",39.2387295059192,5.24736127414808,70,56,69,50,36,72,87
"146",35.0389808160067,4.86302160940736,70,58,72,57,33,74,90
"147",38.9713179499059,4.28565923673174,70,50,67,55,35,76,85
"148",38.6497277050291,6.06541393286153,70,66,75,66,37,80,86
"149",34.579811924702,2.97968072913846,70,62,62,53,50,79,89
"150",34.0078608481713,5.50602022922493,70,63,69,51,37,74,89
"151",39.9276719152788,4.38779554389227,70,60,64,55,46,87,89
"152",36.4917304578979,5.02626365772642,70,58,69,70,36,82,90
"153",39.1665753383124,4.74689687291521,70,66,65,56,46,85,93
"154",34.4667441792625,4.02121993897843,70,61,68,52,43,82,88
"155",40.8318810550034,6.58167892916188,70,61,76,68,34,82,92
"156",32.9706683524593,4.73095816095179,70,66,75,63,38,66,89
"157",39.2960220065821,4.49448200639223,70,51,60,60,36,79,85
"158",38.3926077099411,7.07726215224686,70,65,63,59,43,83,89
"159",37.8039798341216,5.66992555440875,70,61,63,52,47,86,92
"160",39.0025680614057,5.20408452300841,70,59,66,56,29,81,94
"161",38.1954018515913,4.96284685598908,70,56,54,53,37,80,88
"162",35.0857869072098,5.11600698685415,70,67,70,64,47,84,91
"163",36.1968612879295,4.74398822825356,70,60,68,56,39,72,95
"164",38.0796386946571,4.32540376020656,70,59,70,47,34,80,89
"165",33.0614017181779,5.94202707906856,70,64,61,65,54,84,91
"166",34.3480911709939,5.49303642251188,70,59,66,50,45,86,88
"167",43.2312843837539,5.44381705349733,70,53,68,59,37,80,88
"168",30.7023231033971,4.93004659158983,70,63,76,51,44,81,89
"169",33.2844821040152,6.30191419547311,70,57,63,56,35,79,86
"170",39.9712992689921,3.6406732879911,70,56,57,53,42,86,90
"171",40.2659855895942,6.55437166696287,70,54,74,57,36,82,89
"172",39.5195567625648,6.44850238928878,70,53,67,59,49,80,92
"173",37.1705759160502,5.92827110798481,70,64,72,54,41,83,92
"174",37.9716341535408,3.69274597203314,70,60,66,60,40,81,91
"175",34.2859939972271,5.27660070321971,70,65,65,57,45,80,87
"176",35.0434484548896,4.20082493149421,70,60,66,51,44,82,91
"177",36.2126360861172,4.6230829396242,70,58,65,64,37,77,89
